,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
879699,950,11,4,16,1,73,58,3864
879719,2210,23,56,9,0,165,58,7635
879727,1500,74,13,8,0,189,58,1015
879734,1830,27,82,6,1,199,68,2431
879743,1700,51,72,12,1,188,68,4623
879752,500,61,4,7,1,70,68,1572
879754,200,21,4,0,1,189,58,7732
879764,1120,43,2,2,1,165,14,9756
879772,1653,37,4,4,0,199,58,9442
879778,130,34,2,0,0,199,69,1766
879783,1345,81,37,19,1,165,58,3083
879798,1950,19,2,5,1,164,24,5076
879820,1530,25,10,2,0,151,24,398
879826,2000,25,4,6,1,188,58,7234
879827,2200,23,2,9,0,199,69,5639
879832,500,45,2,3,1,199,27,9388
879833,2255,29,2,0,1,165,69,8752
879834,1500,58,4,7,0,151,58,1949
879836,2230,18,4,18,1,151,58,816
879837,720,23,37,15,0,189,58,4401
879846,800,12,18,4,0,189,56,252
879850,2200,23,14,13,1,199,68,9163
879851,2100,36,56,13,1,63,58,7993
879858,430,36,2,20,1,189,68,1249
879859,940,37,6,1,1,131,68,6720
879862,607,45,72,12,1,218,68,5283
879875,550,30,2,9,1,199,24,9652
879880,135,22,2,11,0,199,24,10073
879883,1145,35,23,8,1,158,70,6335
879885,1400,34,4,1,1,188,58,3521
879888,500,64,3,15,1,199,58,9072
879898,1830,50,13,1,1,155,68,8122
879901,740,10,19,14,0,188,58,8987
879917,920,67,4,0,1,151,58,7004
879922,1900,32,4,2,0,186,58,8899
879934,1600,22,37,17,0,189,58,6452
879942,245,36,56,13,1,188,58,5963
879947,1200,50,4,2,1,164,58,441
879954,1230,24,10,13,1,189,28,3414
879962,1720,21,4,16,0,44,68,7269
879963,2000,2,20,4,0,151,58,244
879972,5,34,37,8,0,151,58,1152
879973,15,32,68,12,1,188,68,6324
879975,1100,35,37,7,1,199,58,8788
879977,1400,46,37,11,0,151,58,4720
879979,1512,27,7,1,0,199,58,239
879980,15,43,37,14,1,189,68,9041
879995,2200,38,56,10,1,199,58,9379
879996,1630,17,4,13,1,199,58,7990
880001,1800,53,4,11,0,158,58,8732
880023,115,45,56,4,1,199,58,810
880025,1400,38,36,4,0,151,58,4354
880032,2135,31,23,12,1,13,70,11
880037,2300,22,37,0,0,189,58,8761
880041,217,53,22,0,1,3,24,8303
880049,120,30,40,19,0,151,70,7967
880057,1315,22,37,16,0,189,58,7759
880062,2045,33,37,4,0,151,58,2730
880070,855,38,2,0,0,189,24,6792
880077,1600,55,4,16,0,189,58,4149
880081,1635,22,4,4,1,151,58,8617
880083,400,41,4,11,1,151,58,4081
880090,1,42,23,14,0,151,70,8506
880091,3,45,75,12,0,218,68,4623
880097,1145,32,75,12,1,218,68,7396
880103,2000,50,56,16,1,42,58,3993
880107,1445,55,4,0,1,151,58,6797
880114,1150,24,4,1,1,199,58,9223
880133,1730,14,42,2,0,209,58,8920
880145,1750,22,56,14,1,199,24,9167
880149,1,79,11,4,0,189,70,348
880150,1600,57,2,3,1,3,40,9434
880158,2255,49,4,12,1,218,68,7396
880163,325,18,2,15,0,189,68,7515
880185,700,59,72,12,0,218,68,3544
880186,535,48,56,13,1,199,58,9579
880195,2000,37,37,3,1,199,58,10022
880198,2322,37,2,15,1,199,51,4411
880201,230,37,2,13,1,189,68,5977
880207,2100,33,37,14,0,3,58,10103
880213,1110,21,2,18,1,189,24,7393
880216,1345,33,43,14,1,79,58,455
880233,1920,72,4,8,1,199,58,1055
880235,905,51,56,13,0,189,58,9506
880236,2300,28,56,11,1,199,24,9100
880241,830,42,2,4,1,161,28,3174
880244,430,45,2,9,0,199,69,9669
880250,1640,76,4,19,1,165,68,2870
880251,2300,42,4,0,0,199,58,6903
880252,1900,26,37,9,0,189,58,2703
880258,1745,19,80,14,0,223,51,738
880262,1155,52,4,1,1,188,58,6732
880270,1100,20,37,3,1,189,58,1877
880276,20,67,4,12,1,218,68,6923
880278,758,40,4,12,1,59,58,631
880287,1340,43,23,1,0,199,70,7361
880291,2006,45,23,5,1,189,70,4250
880292,1515,22,23,6,0,189,70,1704
880300,1525,30,36,1,0,151,58,6624
880323,1845,47,4,14,1,189,58,173
880327,1430,19,37,19,1,199,58,2622
880345,1730,36,37,4,1,77,58,2502
880348,2100,32,37,10,0,151,58,1638
880351,50,53,2,8,1,3,67,10128
880358,1258,30,4,17,1,44,58,6929
880367,1800,58,37,11,0,151,58,8708
880372,930,54,4,12,1,218,68,5283
880375,1656,36,4,0,0,189,58,3940
880376,1345,61,75,12,1,218,68,4623
880381,100,32,2,7,1,199,51,10040
880386,1150,49,80,12,0,165,68,1271
880401,850,38,14,7,0,199,58,1852
880403,1100,50,80,3,0,223,50,992
880404,40,37,37,4,0,151,58,2474
880405,1400,63,4,20,0,66,58,8197
880411,200,46,37,14,0,48,58,2409
880414,200,30,36,17,0,151,58,2281
880424,1530,41,4,10,0,76,58,5708
880427,650,33,37,0,0,90,58,7772
880445,450,24,37,0,0,188,58,7426
880449,2200,29,4,11,0,166,58,5876
880451,1245,67,10,8,1,158,58,1842
880465,2300,19,37,8,0,151,58,6096
880470,2300,21,2,3,0,189,58,1948
880484,400,80,4,2,1,188,58,9986
880486,400,30,36,6,1,189,68,7796
880497,1448,37,56,15,1,199,58,9573
880509,1550,60,2,1,1,199,58,95
880510,517,37,75,12,0,218,68,6634
880511,650,24,74,6,1,199,58,9470
880531,1400,66,23,17,0,189,70,7013
880533,630,40,23,8,0,151,70,1408
880537,1230,55,4,7,1,189,58,8458
880545,130,22,36,0,0,189,58,6314
880553,1020,50,75,12,1,218,68,40
880557,1700,14,4,7,0,189,58,9033
880560,1345,32,40,19,0,189,70,2616
880566,1550,53,2,15,1,164,58,5208
880572,2230,29,36,0,0,189,58,7517
880574,224,42,72,12,1,188,68,6634
880576,1700,45,37,3,0,189,58,7968
880577,1730,31,3,0,1,199,24,6370
880578,1,20,36,4,0,192,58,7382
880579,2030,48,37,9,0,189,58,1674
880590,1200,12,4,19,0,73,58,3321
880592,1500,28,2,13,1,151,33,2745
880594,1530,62,4,19,0,34,58,6201
880604,2300,40,37,8,0,189,58,7048
880612,1730,17,72,12,0,218,68,4623
880615,2200,27,75,12,0,218,68,4623
880616,630,19,4,14,1,188,58,8546
880630,1100,34,4,11,1,79,58,5010
880638,1200,30,23,8,0,151,70,1407
880642,20,24,56,14,1,199,26,1426
880646,2200,31,4,11,0,182,58,8722
880649,1200,50,73,0,0,17,58,2794
880652,1800,27,13,18,0,189,68,4200
880660,926,32,4,6,1,158,58,7070
880664,100,35,4,6,1,154,58,7063
880665,1020,22,23,18,1,199,70,9757
880671,2150,19,2,14,1,189,68,8971
880675,758,28,4,13,0,199,58,6614
880680,540,32,4,8,0,136,58,6234
880690,700,48,56,9,1,199,24,4162
880693,2300,41,37,0,1,189,58,7946
880714,1630,59,4,7,1,90,58,8874
880716,1800,27,10,1,0,76,37,7350
880718,1130,60,56,0,1,188,58,1771
880729,1509,53,16,18,0,189,68,242
880734,1520,53,4,20,1,158,58,6305
880740,1400,23,37,7,0,199,58,9602
880746,1730,66,56,14,1,199,24,6057
880750,1305,57,72,12,0,218,68,4623
880753,2030,57,4,8,1,165,58,9593
880755,2200,24,74,0,0,189,58,3698
880757,340,29,37,17,0,188,58,2194
880765,1400,18,56,0,1,199,54,3566
880776,315,28,56,7,1,60,58,1897
880788,2020,29,2,11,1,188,32,4902
880795,2300,44,23,8,1,151,70,7125
880801,730,23,4,13,0,86,58,3779
880803,1700,27,13,8,1,189,58,1457
880819,145,26,4,19,0,182,58,3299
880823,1500,54,4,0,0,188,58,9277
880834,2200,15,18,2,1,151,58,2615
880838,1640,55,2,19,1,151,50,7127
880847,1,54,56,1,1,199,14,5306
880848,945,60,23,20,1,188,70,8073
880849,2245,19,75,12,1,218,68,5926
880851,800,12,4,9,0,189,58,7413
880872,1700,25,75,12,1,218,68,4623
880880,1300,8,4,17,1,79,58,1604
880881,2100,50,37,3,0,151,58,8570
880883,40,21,7,5,1,189,58,9237
880884,300,36,56,7,1,223,51,1512
880888,1145,28,36,0,0,189,58,4753
880902,2000,22,36,16,0,165,58,7044
880909,400,30,7,0,0,189,58,1771
880917,2130,20,4,1,0,42,58,7473
880918,740,29,4,13,0,141,58,308
880920,815,51,4,14,1,165,58,8875
880926,35,49,56,14,1,223,24,1096
880939,825,55,23,7,1,189,70,1852
880940,1500,65,4,7,1,151,58,7851
880942,1200,63,2,14,1,188,58,515
880943,2025,29,80,13,0,199,68,6701
880946,905,41,4,10,1,116,58,5702
880947,830,69,2,6,0,189,58,3177
880954,1400,28,4,19,1,189,58,5795
880959,1710,23,2,15,0,199,0,10041
880965,800,4,18,20,0,151,58,2892
880971,1830,22,36,14,0,199,24,1426
880986,800,33,72,12,0,218,68,40
880989,2135,30,4,17,1,151,58,7707
880992,1300,18,37,14,0,188,58,9651
880996,240,36,68,12,0,160,68,1487
880997,1945,64,4,18,0,188,58,10120
880998,1845,39,13,0,1,59,68,2120
881003,2300,77,4,18,1,189,58,2791
881008,1,27,37,4,0,151,58,2101
881035,2000,22,2,14,0,189,37,2696
881037,845,52,10,9,0,199,24,6579
881040,1450,45,56,13,1,199,37,10139
881047,1030,60,4,12,1,218,68,5926
881054,824,14,2,4,0,67,11,4298
881059,2233,20,37,19,0,151,58,2803
881065,1930,18,7,12,0,3,58,10149
881069,1740,47,44,3,1,165,68,992
881087,1730,38,27,20,1,199,51,7482
881096,2230,20,2,16,0,199,69,9568
881099,1830,55,56,7,1,164,58,8444
881105,1200,12,18,0,0,189,58,8821
881114,2150,37,36,15,0,189,58,5215
881118,945,24,37,20,0,189,58,107
881126,1100,23,4,12,0,218,68,3544
881129,1420,34,10,14,0,227,70,9022
881130,340,48,13,9,0,26,68,6578
881132,2135,38,4,17,0,189,58,1990
881140,500,56,3,14,1,188,58,10136
881141,400,35,3,17,1,199,28,10023
881146,1125,25,4,1,1,62,58,117
881150,110,28,14,12,1,199,68,8634
881151,300,31,37,14,0,189,58,8667
881153,1540,57,75,12,0,218,68,4623
881164,120,45,37,11,0,199,68,4586
881171,1600,14,42,19,0,33,58,3032
881179,2140,25,37,9,0,188,58,6168
881186,1015,24,4,7,0,182,58,8300
881187,530,31,37,11,0,151,68,6735
881193,1250,61,23,14,0,199,70,1159
881194,500,51,56,19,1,199,24,3077
881200,950,66,4,0,1,199,58,5688
881221,1830,74,13,18,1,189,68,8682
881238,1700,32,2,14,0,189,70,6004
881249,630,35,21,8,1,34,70,5646
881254,2020,46,56,9,1,199,58,9458
881258,1150,76,37,17,0,151,58,1979
881262,2100,20,37,17,1,165,58,2341
881268,2000,30,4,11,1,199,58,5255
881271,1340,27,4,8,1,158,58,6235
